Features,keep,Correlation,AbsCorrelation
Solar_Vol,N,-0.6117299964,0.6117299964194698
Load,Y,0.6018351797741012,0.6018351797741012
shortwave_radiation,Y,-0.5945454231,0.5945454230950108
temperature_2m,Y,-0.5482291819,0.5482291818834903
apparent_temperature,N,-0.5231431979,0.5231431978683369
direct_normal_irradiance,Y,-0.5174858649,0.5174858648724358
diffuse_radiation,Y,-0.4994019174,0.49940191738102463
Flow_NO,Y,0.4949832565560703,0.4949832565560703
yearday_cos,Y,0.3891942512801458,0.3891942512801458
Flow_GB,Y,0.37570365800517463,0.37570365800517463
month,Y,-0.3733425564,0.3733425563790853
day_of_year,N,-0.3707860155,0.3707860155241132
is_dst,Y,-0.3618022169,0.36180221694700415
Wind_Vol,N,-0.3168460242,0.3168460241998216
Nuclear_Vol,N,0.26234576038856416,0.26234576038856416
yearday_sin,Y,-0.25726997,0.25726997
wind_speed_10m,Y,-0.238038735,0.23803873498859565
is_non_working_day,Y,-0.212123486,0.21212348602013134
hour_cos,Y,0.20943185187987254,0.20943185187987254
is_weekend,Y,-0.1857886384,0.18578863843003945
cloud_cover,Y,0.16185028804531437,0.16185028804531437
day_of_week,N,-0.157528007,0.15752800697875244
weekday_sin,Y,0.1546290959601637,0.1546290959601637
WindOffshore_Vol,N,-0.1515239149,0.15152391487574576
hour,N,0.14450220549202078,0.14450220549202078
hour_sin,Y,-0.1279178292,0.1279178292394326
is_holiday,N,-0.1219959967,0.12199599667322561
Total_Flow,N,0.10860121924400232,0.10860121924400232
Flow_BE,N,-0.09350203572,0.09350203572
weekday_cos,Y,-0.05968301897,0.059683018971166284
Flow_DE,N,-0.04070293711,0.04070293711
Flow_DK,N,0.014381064022847407,0.014381064022847407