date,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,cloud_cover,visibility,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,direct_radiation
2025-03-03 22:00:00+00:00,1.5174999,91.0,0.0,0.0,0.0,100.0,8220.0,5.3999996,1.7544246,1.8372318,5.340177,6.12,-2.6,1.987,0.167,0.168,0.17,0.176,0.0
2025-03-03 23:00:00+00:00,0.4175,88.0,0.0,0.0,0.0,79.0,50000.0,5.04,1.4035398,1.4697855,1.780059,5.3999996,-2.65,1.537,0.167,0.168,0.17,0.176,0.0
2025-03-04 00:00:00+00:00,0.9675,89.0,0.0,0.0,0.0,98.0,50000.0,5.7599998,22.105751,23.149122,14.240472,7.92,-2.8,1.087,0.167,0.168,0.17,0.176,0.0
2025-03-04 01:00:00+00:00,0.7175,91.0,0.0,0.0,0.0,100.0,8180.0,4.32,18.947786,19.842104,6.052201,6.4799995,-3.2,0.88699996,0.167,0.168,0.17,0.176,0.0
2025-03-04 02:00:00+00:00,-0.88250005,88.0,0.0,0.0,0.0,100.0,9940.0,1.4399999,6.6668134,6.981481,0.0,2.16,-3.65,0.687,0.167,0.168,0.17,0.175,0.0
2025-03-04 03:00:00+00:00,-1.1325,89.0,0.0,0.0,0.0,100.0,9080.0,3.96,6.3159285,6.614034,6.408212,4.32,-3.85,0.88699996,0.169,0.17,0.171,0.176,0.0
2025-03-04 04:00:00+00:00,-0.7825,90.0,0.0,0.0,0.0,100.0,50000.0,5.7599998,9.473893,9.921052,9.612318,8.28,-3.9,0.63699996,0.169,0.17,0.171,0.176,0.0
2025-03-04 05:00:00+00:00,-0.5325,89.0,0.0,0.0,0.0,100.0,50000.0,2.8799999,8.772122,9.186159,7.476248,8.28,-3.7,0.537,0.169,0.17,0.171,0.176,0.0
2025-03-04 06:00:00+00:00,-0.6825,89.0,0.0,0.0,0.0,99.0,50000.0,2.8799999,9.473893,9.921052,7.476248,3.6,-2.75,0.43699998,0.169,0.17,0.171,0.175,0.0
2025-03-04 07:00:00+00:00,-0.4825,90.0,0.0,0.0,0.0,94.0,8300.0,8.28,14.737166,15.432747,13.172437,9.36,-0.55,0.387,0.169,0.17,0.171,0.175,1.879528
2025-03-04 08:00:00+00:00,1.6675,90.0,0.0,0.0,0.0,72.0,8420.0,1.8,8.070353,8.451266,7.120236,11.159999,2.4,0.387,0.169,0.17,0.171,0.175,45.689728
2025-03-04 09:00:00+00:00,4.0175004,84.0,0.0,0.0,0.0,96.0,12180.0,1.08,6.3159285,6.614034,5.340177,3.96,5.4,0.987,0.168,0.17,0.171,0.175,133.4631
2025-03-04 10:00:00+00:00,6.1675,76.0,0.0,0.0,0.0,1.0,16100.0,2.16,6.3159285,6.614034,7.8322597,6.8399997,8.5,2.237,0.166,0.169,0.171,0.175,236.91943
2025-03-04 11:00:00+00:00,8.7675,68.0,0.0,0.0,0.0,16.0,20140.0,5.3999996,9.123008,9.553605,11.748389,13.32,11.6,4.037,0.164,0.169,0.171,0.175,344.79224
2025-03-04 12:00:00+00:00,10.4675,63.0,0.0,0.0,0.0,2.0,50000.0,4.32,6.3159285,6.614034,7.120236,13.32,13.6,5.487,0.163,0.167,0.17,0.175,382.5459
2025-03-04 13:00:00+00:00,11.5675,57.0,0.0,0.0,0.0,0.0,26260.0,4.68,7.0176983,7.348927,8.1882715,14.4,14.15,6.537,0.163,0.165,0.17,0.175,375.04877
2025-03-04 14:00:00+00:00,12.117499,52.0,0.0,0.0,0.0,0.0,50000.0,3.2399998,4.561504,4.7768025,4.984165,13.679999,13.6,7.437,0.162,0.164,0.169,0.175,323.5163
2025-03-04 15:00:00+00:00,12.2675,51.0,0.0,0.0,0.0,0.0,29380.0,2.8799999,3.8597343,4.0419097,4.272142,11.5199995,12.0,7.887,0.162,0.164,0.168,0.175,232.85362
2025-03-04 16:00:00+00:00,12.0175,56.0,0.0,0.0,0.0,1.0,50000.0,4.32,5.965044,6.246588,6.408212,9.72,8.7,7.687,0.162,0.164,0.168,0.174,124.517876
2025-03-04 17:00:00+00:00,10.367499,69.0,0.0,0.0,0.0,0.0,19800.0,4.68,10.877432,11.390837,11.0363655,10.08,4.35,6.737,0.163,0.164,0.167,0.174,34.512268
2025-03-04 18:00:00+00:00,7.6175003,78.0,0.0,0.0,0.0,0.0,15360.0,6.8399997,12.2809725,12.860622,13.172437,7.2,1.0,5.337,0.164,0.164,0.167,0.174,-0.03336048
2025-03-04 19:00:00+00:00,5.7675004,80.0,0.0,0.0,0.0,0.0,14220.0,6.12,14.035397,14.697854,17.80059,11.159999,-0.3,4.037,0.164,0.165,0.167,0.174,0.0
2025-03-04 20:00:00+00:00,4.0175004,84.0,0.0,0.0,0.0,0.0,12000.0,6.8399997,24.912828,26.088692,17.444578,7.2,-0.6,3.237,0.164,0.165,0.167,0.174,0.0
2025-03-04 21:00:00+00:00,3.3174999,83.0,0.0,0.0,0.0,0.0,50000.0,6.12,20.702211,21.679337,19.224636,9.72,-0.9,2.737,0.165,0.165,0.167,0.174,0.0
2025-03-04 22:00:00+00:00,2.5175,85.0,0.0,0.0,0.0,0.0,11380.0,6.4799995,16.842476,17.637426,16.376543,7.5599995,-1.6,2.337,0.165,0.165,0.167,0.174,0.0
2025-03-04 23:00:00+00:00,1.9675,85.0,0.0,0.0,0.0,0.0,50000.0,7.92,17.193361,18.004871,20.648685,9.0,-2.25,1.987,0.165,0.165,0.167,0.173,0.0
2025-03-05 00:00:00+00:00,1.8675,86.0,0.0,0.0,0.0,0.0,50000.0,6.12,19.649555,20.576996,24.208803,11.159999,-2.7,1.687,0.165,0.165,0.167,0.173,0.0
2025-03-05 01:00:00+00:00,1.2674999,86.0,0.0,0.0,0.0,0.0,50000.0,5.3999996,15.438937,16.167639,20.292673,7.5599995,-2.85,1.437,0.165,0.166,0.167,0.173,0.0
2025-03-05 02:00:00+00:00,0.76750004,88.0,0.0,0.0,0.0,0.0,50000.0,7.5599995,10.175663,10.655945,14.240472,7.92,-2.75,1.287,0.165,0.166,0.167,0.173,0.0
2025-03-05 03:00:00+00:00,0.9675,89.0,0.0,0.0,0.0,0.0,50000.0,8.28,11.930088,12.493176,16.376543,14.04,-2.55,1.137,0.165,0.166,0.167,0.173,0.0
2025-03-05 04:00:00+00:00,1.0174999,90.0,0.0,0.0,0.0,0.0,50000.0,7.92,17.193361,18.004871,18.868628,11.5199995,-2.45,1.037,0.165,0.166,0.167,0.173,0.0
2025-03-05 05:00:00+00:00,0.6675,91.0,0.0,0.0,0.0,0.0,50000.0,7.92,22.105751,23.149122,21.716719,11.5199995,-2.25,0.987,0.165,0.166,0.167,0.173,0.0
2025-03-05 06:00:00+00:00,0.7175,90.0,0.0,0.0,0.0,0.0,50000.0,7.2,23.158405,24.25146,22.072731,11.5199995,-1.2,0.88699996,0.165,0.166,0.167,0.173,0.0
2025-03-05 07:00:00+00:00,1.0174999,89.0,0.0,0.0,0.0,0.0,50000.0,8.28,28.42168,29.763157,24.208803,12.959999,1.25,0.787,0.165,0.166,0.167,0.173,3.26363
2025-03-05 08:00:00+00:00,2.7675,85.0,0.0,0.0,0.0,0.0,50000.0,7.92,34.737606,36.377186,29.548983,14.759999,4.55,0.88699996,0.165,0.166,0.167,0.173,64.16867
2025-03-05 09:00:00+00:00,5.2175,74.0,0.0,0.0,0.0,0.0,50000.0,5.7599998,25.6146,26.823586,28.124933,15.119999,7.7,1.987,0.164,0.166,0.167,0.173,169.8516
2025-03-05 10:00:00+00:00,7.7675004,66.0,0.0,0.0,0.0,0.0,21240.0,4.32,10.877432,11.390837,23.140766,12.24,10.6,3.487,0.163,0.166,0.167,0.173,277.44928
2025-03-05 11:00:00+00:00,10.4175,59.0,0.0,0.0,0.0,0.0,24860.0,5.04,8.070353,8.451266,13.884461,12.959999,13.3,5.137,0.162,0.164,0.167,0.172,356.8645
2025-03-05 12:00:00+00:00,12.367499,55.0,0.0,0.0,0.0,0.0,27200.0,7.92,11.930088,12.493176,13.884461,17.64,15.05,7.137,0.16,0.163,0.167,0.172,395.97485
2025-03-05 13:00:00+00:00,13.3175,52.0,0.0,0.0,0.0,0.0,28880.0,8.64,13.684512,14.330408,15.664519,19.08,15.55,8.837001,0.159,0.161,0.166,0.172,388.48697
2025-03-05 14:00:00+00:00,13.867499,50.0,0.0,0.0,0.0,0.0,29760.0,7.5599995,11.930088,12.493176,13.172437,19.08,15.05,9.837001,0.157,0.16,0.165,0.172,334.4921
2025-03-05 15:00:00+00:00,13.8175,53.0,0.0,0.0,0.0,0.0,50000.0,8.64,14.035397,14.697854,16.02053,17.64,13.55,10.087001,0.157,0.159,0.165,0.172,243.33966
2025-03-05 16:00:00+00:00,13.117499,62.0,0.0,0.0,0.0,0.0,23320.0,8.28,15.789822,16.535086,19.93666,17.64,10.3,9.787001,0.157,0.159,0.164,0.172,133.064
2025-03-05 17:00:00+00:00,11.5175,71.0,0.0,0.0,0.0,0.0,50000.0,6.4799995,17.544245,18.372318,20.292673,14.759999,6.0,8.787001,0.158,0.159,0.164,0.172,38.16778
2025-03-05 18:00:00+00:00,8.9675,79.0,0.0,0.0,0.0,0.0,14660.0,3.96,14.035397,14.697854,15.664519,9.0,2.65,7.287,0.159,0.16,0.163,0.171,0.023717403
2025-03-05 19:00:00+00:00,6.7175,84.0,0.0,0.0,0.0,0.0,11720.0,3.96,15.789822,16.535086,17.088568,4.32,1.15,6.137,0.159,0.16,0.163,0.171,0.0
2025-03-05 20:00:00+00:00,4.6175003,87.0,0.0,0.0,0.0,0.0,10280.0,6.8399997,17.544245,18.372318,15.664519,7.2,0.6,5.287,0.16,0.161,0.163,0.171,0.0
2025-03-05 21:00:00+00:00,3.7675,85.0,0.0,0.0,0.0,0.0,11620.0,6.12,15.789822,16.535086,16.376543,7.2,0.3,4.637,0.16,0.161,0.163,0.171,0.0
2025-03-05 22:00:00+00:00,3.1175,84.0,0.0,0.0,0.0,0.0,11860.0,6.8399997,21.053095,22.046782,21.360708,7.5599995,0.2,4.137,0.16,0.161,0.163,0.171,0.0
2025-03-05 23:00:00+00:00,3.1675,83.0,0.0,0.0,0.0,0.0,12340.0,8.28,24.561945,25.721245,24.564814,11.159999,0.35,3.637,0.161,0.161,0.163,0.171,0.0
2025-03-06 00:00:00+00:00,3.0175,84.0,0.0,0.0,0.0,0.0,50000.0,7.92,20.702211,21.679337,20.648685,11.159999,0.5,3.287,0.161,0.162,0.164,0.171,0.0
2025-03-06 01:00:00+00:00,2.5674999,87.0,0.0,0.0,0.0,0.0,50000.0,8.64,21.053095,22.046782,26.700884,12.599999,0.55,2.937,0.161,0.162,0.164,0.171,0.0
2025-03-06 02:00:00+00:00,2.5175,89.0,0.0,0.0,0.0,0.0,50000.0,9.36,29.474333,30.865494,27.768923,13.679999,0.65,2.737,0.161,0.162,0.164,0.171,0.0
2025-03-06 03:00:00+00:00,2.5175,91.0,0.0,0.0,0.0,0.0,50000.0,9.0,32.98318,34.53996,34.177135,14.4,0.7,2.587,0.161,0.162,0.164,0.17,0.0
2025-03-06 04:00:00+00:00,2.2675,91.0,0.0,0.0,0.0,0.0,50000.0,8.28,33.68495,35.274853,34.533146,13.679999,0.4,1.5174999,0.156,0.156,0.158,0.165,0.0
2025-03-06 05:00:00+00:00,1.9175,91.0,0.0,0.0,0.0,0.0,7740.0,7.2,28.772562,30.130602,24.920826,11.879999,0.1,1.4175,0.156,0.156,0.158,0.164,0.0
2025-03-06 06:00:00+00:00,1.9175,90.0,0.0,0.0,0.0,0.0,50000.0,8.64,31.579643,33.07017,25.632849,13.32,0.7,1.3175,0.156,0.157,0.158,0.164,0.0
2025-03-06 07:00:00+00:00,2.3174999,90.0,0.0,0.0,0.0,0.0,50000.0,8.28,31.579643,33.07017,30.261002,13.32,2.95,1.3175,0.156,0.157,0.158,0.164,3.800043
2025-03-06 08:00:00+00:00,4.3175,86.0,0.0,0.0,0.0,65.0,10780.0,9.36,33.68495,35.274853,29.192966,16.56,6.1,2.0175,0.156,0.157,0.158,0.164,61.88797
2025-03-06 09:00:00+00:00,6.9675,79.0,0.0,0.0,0.0,25.0,14360.0,7.92,27.018139,28.29337,29.904991,16.56,9.1,3.5175,0.155,0.156,0.158,0.164,166.64932
2025-03-06 10:00:00+00:00,10.3175,69.0,0.0,0.0,0.0,0.0,50000.0,8.28,17.193361,18.004871,25.632849,16.56,11.85,5.1675,0.153,0.155,0.158,0.164,284.81213
2025-03-06 11:00:00+00:00,12.9675,61.0,0.0,0.0,0.0,0.0,23820.0,10.440001,17.544245,18.372318,23.140766,21.24,14.45,6.5675,0.151,0.154,0.158,0.164,371.06146
2025-03-06 12:00:00+00:00,15.0675,53.0,0.0,0.0,0.0,0.0,28480.0,12.599999,21.053095,22.046782,24.564814,25.56,16.1,7.7675004,0.149,0.152,0.157,0.164,405.95154
2025-03-06 13:00:00+00:00,15.5675,53.0,0.0,0.0,0.0,0.0,28300.0,14.4,23.509289,24.618904,27.412909,29.16,16.6,8.9175,0.147,0.151,0.157,0.164,398.48013
2025-03-06 14:00:00+00:00,16.067501,52.0,0.0,0.0,0.0,0.0,50000.0,13.32,22.105751,23.149122,25.632849,28.8,16.15,9.5175,0.146,0.149,0.156,0.164,344.3451
2025-03-06 15:00:00+00:00,15.5,55.0,0.0,0.0,0.0,0.0,76480.0,12.9249525,24.826952,26.654589,27.792374,25.56,14.8,9.8175,0.145,0.148,0.155,0.164,202.32437
2025-03-06 16:00:00+00:00,13.8,60.0,0.0,0.0,0.0,0.0,75840.0,11.659777,22.26477,25.671307,28.291512,21.96,12.0,9.8175,0.145,0.148,0.154,0.163,95.92695
2025-03-06 17:00:00+00:00,11.25,67.0,0.0,0.0,0.0,0.0,72800.0,10.08,22.963936,27.792374,30.5173,17.28,8.3,9.1675,0.146,0.148,0.154,0.163,29.088898
2025-03-06 18:00:00+00:00,9.25,72.0,0.0,0.0,0.0,0.0,60440.0,9.114471,22.963936,27.553526,30.513052,14.04,5.5,7.9675,0.148,0.149,0.153,0.163,2.9651423
2025-03-06 19:00:00+00:00,8.35,74.0,0.0,0.0,0.0,0.0,51840.0,9.178235,25.346148,30.173496,34.09373,14.04,4.55,6.9675,0.149,0.15,0.153,0.163,0.0
2025-03-06 20:00:00+00:00,7.9,75.0,0.0,0.0,0.0,0.0,48140.0,9.885262,27.607563,33.927967,39.33072,16.199999,4.5,6.2175,0.15,0.15,0.153,0.163,0.0
2025-03-06 21:00:00+00:00,7.6,76.0,0.0,0.0,0.0,0.0,43880.0,10.538843,28.820242,35.58359,41.556225,17.64,4.5,5.6675,0.15,0.151,0.153,0.163,0.0
2025-03-06 22:00:00+00:00,7.2,77.0,0.0,0.0,0.0,8.0,40600.0,10.853866,30.293522,37.612675,43.482574,18.0,4.3,5.3175,0.151,0.151,0.154,0.163,0.0
2025-03-06 23:00:00+00:00,6.85,78.0,0.0,0.0,0.0,20.0,40760.0,10.823973,31.338614,39.562344,46.483234,18.359999,4.1,5.0175004,0.151,0.152,0.154,0.163,0.0
2025-03-07 00:00:00+00:00,6.6,79.0,0.0,0.0,0.0,31.0,43680.0,10.805999,32.76791,42.86873,50.103413,18.72,4.0,4.8175,0.151,0.152,0.154,0.163,0.0
2025-03-07 01:00:00+00:00,6.45,80.0,0.0,0.0,0.0,44.0,48340.0,11.165805,34.2303,45.755417,52.939587,19.08,3.95,4.7175,0.151,0.152,0.154,0.163,0.0
2025-03-07 02:00:00+00:00,6.4,81.0,0.0,0.0,0.0,56.0,48720.0,11.165805,34.207577,45.755417,54.439804,19.8,3.95,4.6675,0.152,0.152,0.154,0.163,0.0
2025-03-07 03:00:00+00:00,6.35,82.0,0.0,0.0,0.0,60.0,46240.0,11.542478,33.151287,44.9063,53.08627,20.16,3.95,4.6675,0.152,0.152,0.154,0.163,0.0
2025-03-07 04:00:00+00:00,6.05,83.0,0.0,0.0,0.0,47.0,42820.0,11.928989,33.190357,44.9063,53.012978,20.519999,3.65,4.6675,0.152,0.153,0.155,0.163,0.0
2025-03-07 05:00:00+00:00,5.8,84.0,0.0,0.0,0.0,26.0,42600.0,12.015589,32.561596,44.87888,53.418465,20.880001,3.4,4.6675,0.152,0.153,0.155,0.162,0.0
2025-03-07 06:00:00+00:00,6.05,84.0,0.0,0.0,0.0,10.0,46060.0,12.429127,31.259945,43.763325,51.722366,21.24,3.95,4.8175,0.152,0.153,0.155,0.162,0.0
2025-03-07 07:00:00+00:00,7.2,81.0,0.0,0.0,0.0,6.0,52080.0,12.429127,28.357857,37.54543,48.98117,21.96,6.05,5.2175,0.152,0.153,0.155,0.162,11.315077
2025-03-07 08:00:00+00:00,8.9,76.0,0.0,0.0,0.0,8.0,58080.0,12.7279215,24.693481,29.01743,45.288513,23.039999,9.0,5.8675003,0.152,0.153,0.155,0.162,60.64344
